,UDI,Product.ID,Type,Air.temperature..K.,Process.temperature..K.,Rotational.speed..rpm.,Torque..Nm.,Tool.wear..min.
662,662,M15521,M,297.6,309.0,1427,45.6,179
667,667,L47846,L,297.5,309.0,1470,43.5,191
679,679,M15538,M,297.8,309.2,1295,61.2,12
687,687,M15546,M,297.7,309.0,1504,40.4,35
698,698,M15557,M,297.6,308.8,1453,39.7,69
702,702,L47881,L,297.7,308.8,1515,40.1,82
709,709,M15568,M,297.6,308.8,1416,45.9,101
711,711,M15570,M,297.5,308.7,1697,28.1,107
722,722,L47901,L,297.5,308.9,1696,30.9,133
726,726,L47905,L,297.4,308.8,1640,34.2,142
734,734,M15593,M,297.1,308.4,1421,42.0,165
736,736,L47915,L,296.9,308.4,1557,32.4,173
738,738,H30151,H,296.9,308.3,1474,39.2,177
746,746,L47925,L,296.7,308.0,1451,50.7,197
757,757,L47936,L,296.8,308.0,1584,40.4,227
758,758,L47937,L,296.9,308.1,1555,33.7,229
759,759,L47938,L,296.8,308.0,1497,41.7,231
763,763,M15622,M,296.7,307.8,1286,60.5,0
766,766,L47945,L,296.9,308.0,1332,53.9,7
768,768,L47947,L,296.9,308.0,1546,31.1,11
771,771,L47950,L,296.8,308.0,1391,54.4,17
776,776,L47955,L,296.7,307.8,1453,46.0,33
778,778,L47957,L,296.7,307.8,1382,47.5,37
787,787,L47966,L,296.9,308.1,1741,28.8,60
791,791,L47970,L,296.8,307.9,1420,45.4,70
803,803,L47982,L,296.9,307.8,1571,35.0,102
806,806,M15665,M,297.0,307.9,1412,47.4,112
811,811,L47990,L,296.9,307.7,1550,39.7,124
813,813,L47992,L,296.8,307.6,1338,44.4,128
815,815,M15674,M,296.8,307.5,1470,45.9,132
835,835,H30248,H,296.6,307.4,1333,50.2,177
844,844,L48023,L,296.6,307.5,1485,42.7,204
846,846,L48025,L,296.3,307.3,1439,41.5,208
850,850,H30263,H,296.4,307.4,1586,35.5,0
853,853,M15712,M,296.3,307.3,1368,49.5,10
856,856,L48035,L,296.1,307.2,1615,30.8,18
861,861,H30274,H,296.1,306.9,1541,32.6,33
865,865,M15724,M,296.0,306.7,2044,22.3,48
868,868,H30281,H,295.9,306.5,1594,33.2,55
876,876,M15735,M,295.8,306.3,1444,45.5,76
880,880,L48059,L,295.8,306.3,1337,54.6,87
888,888,H30301,H,295.7,306.2,2161,16.5,105
889,889,M15748,M,295.6,306.1,1651,28.1,110
895,895,L48074,L,295.6,306.2,1426,48.6,124
900,900,H30313,H,295.6,306.2,1329,55.3,135
928,928,H30341,H,295.6,306.0,1396,52.4,0
934,934,L48113,L,295.5,306.0,1597,37.2,16
939,939,L48118,L,295.6,306.2,1823,25.8,29
941,941,L48120,L,295.6,306.2,1443,48.9,33
951,951,L48130,L,295.6,306.2,1424,42.5,58
952,952,H30365,H,295.6,306.3,1509,35.8,60
953,953,L48132,L,295.5,306.2,1448,48.9,65
955,955,H30368,H,295.6,306.2,1414,42.5,69
959,959,L48138,L,295.8,306.4,1399,47.6,84
962,962,L48141,L,295.8,306.5,1493,40.5,90
965,965,L48144,L,295.7,306.5,1737,26.2,97
971,971,L48150,L,295.8,306.5,1568,35.1,111
977,977,M15836,M,296.0,306.6,1392,51.3,124
983,983,L48162,L,296.2,306.9,1516,39.1,138
989,989,H30402,H,296.3,307.1,1774,25.9,154
994,994,M15853,M,296.1,307.1,1485,36.0,169
996,996,L48175,L,296.3,307.3,1566,35.8,175
998,998,M15857,M,296.3,307.2,1446,45.9,180
1013,1013,M15872,M,296.1,307.1,1433,38.5,14
1020,1020,L48199,L,296.3,307.3,1398,52.7,31
1022,1022,M15881,M,296.3,307.2,1454,42.5,35
1030,1030,M15889,M,296.2,307.3,1477,35.2,53
1034,1034,H30447,H,296.4,307.5,1556,38.0,62
1038,1038,H30451,H,296.4,307.5,1596,35.1,75
1052,1052,L48231,L,296.6,307.7,1556,37.7,110
1053,1053,L48232,L,296.7,307.7,1927,23.9,112
1061,1061,H30474,H,296.7,307.9,1424,53.8,133
1062,1062,L48241,L,296.7,307.9,1420,50.1,138
1069,1069,L48248,L,296.8,307.8,1394,47.7,155
1072,1072,L48251,L,296.9,307.8,1425,49.1,163
1077,1077,L48256,L,296.9,307.7,1653,35.9,177
1080,1080,L48259,L,297.0,307.7,1731,28.5,186
1082,1082,L48261,L,297.0,307.8,1521,40.2,190
1096,1096,L48275,L,296.9,307.5,2721,9.3,18
1100,1100,M15959,M,296.8,307.4,1472,43.9,30
1118,1118,L48297,L,296.5,307.4,1523,40.7,85
1121,1121,H30534,H,296.6,307.7,1654,31.0,91
1122,1122,L48301,L,296.6,307.6,1459,40.2,96
1124,1124,H30537,H,296.6,307.7,1386,62.3,100
1130,1130,L48309,L,296.7,307.9,1690,29.6,119
1134,1134,M15993,M,296.8,307.9,1418,47.9,127
1145,1145,L48324,L,297.0,307.9,1296,69.1,153
1148,1148,M16007,M,297.1,308.0,1690,25.6,159
1156,1156,H30569,H,297.0,307.9,1846,27.3,179
1168,1168,L48347,L,297.0,308.1,1362,52.5,213
1173,1173,L48352,L,297.1,308.1,1446,36.6,227
1174,1174,H30587,H,297.1,308.0,1559,38.8,229
1180,1180,L48359,L,297.3,308.4,1441,43.4,14
1183,1183,L48362,L,297.3,308.3,1410,48.1,23
1187,1187,L48366,L,297.3,308.4,1417,47.8,31
1206,1206,L48385,L,296.8,308.0,1371,54.5,86
1218,1218,L48397,L,297.0,308.1,1455,43.5,122
1221,1221,L48400,L,297.0,308.2,1577,29.4,130
1229,1229,M16088,M,297.1,308.4,1583,38.2,150
1231,1231,M16090,M,297.1,308.4,1880,23.5,155
1242,1242,M16101,M,297.1,308.5,1621,32.4,194
1243,1243,L48422,L,297.1,308.4,1468,44.4,197
1250,1250,L48429,L,297.3,308.7,1467,36.8,216
1253,1253,L48432,L,297.5,308.8,1533,41.5,223
1254,1254,L48433,L,297.5,308.8,1309,57.3,0
1255,1255,H30668,H,297.5,308.8,1430,49.4,2
1257,1257,M16116,M,297.5,308.9,1535,37.7,12
1266,1266,L48445,L,297.9,309.4,1558,35.7,39
1269,1269,L48448,L,298.0,309.5,1496,45.8,46
1279,1279,L48458,L,298.2,309.4,1398,52.9,79
1282,1282,H30695,H,298.3,309.5,1427,54.3,89
1283,1283,L48462,L,298.3,309.4,1546,36.1,94
1292,1292,M16151,M,298.6,309.7,1675,28.4,115
1293,1293,M16152,M,298.7,309.7,1868,23.8,118
1295,1295,L48474,L,298.8,309.9,1486,40.3,126
1303,1303,L48482,L,298.6,309.8,1505,45.7,144
1305,1305,L48484,L,298.8,310.0,2098,19.6,148
1310,1310,L48489,L,298.9,310.2,1654,31.1,158
1319,1319,M16178,M,299.0,310.3,1582,33.3,177
1320,1320,L48499,L,299.0,310.3,1929,24.4,180
1329,1329,M16188,M,298.8,310.1,1719,28.8,206
1332,1332,H30745,H,298.9,310.2,1771,26.8,216
1336,1336,L48515,L,299.0,310.4,1371,53.8,228
1353,1353,M16212,M,298.7,310.2,1598,33.3,36
1355,1355,L48534,L,298.6,310.0,1334,48.0,42
1357,1357,L48536,L,298.6,309.9,1593,37.4,47
1367,1367,M16226,M,298.7,310.1,1368,56.8,72
1373,1373,M16232,M,298.8,310.3,1573,41.8,91
1376,1376,M16235,M,298.8,310.3,1528,37.1,99
1378,1378,L48557,L,298.8,310.2,1461,46.7,105
1383,1383,L48562,L,298.8,310.1,1653,30.3,119
1385,1385,L48564,L,298.9,310.3,1484,43.8,124
1392,1392,L48571,L,298.9,310.2,2737,8.8,142
1395,1395,L48574,L,299.1,310.4,1527,44.0,149
1396,1396,L48575,L,299.1,310.4,1452,39.7,151
1407,1407,L48586,L,298.9,310.1,1442,48.0,181
1416,1416,L48595,L,298.7,309.9,1617,33.0,203
1418,1418,L48597,L,298.7,309.9,1541,38.5,208
1419,1419,L48598,L,298.8,309.9,1320,47.4,210
1425,1425,L48604,L,298.7,309.7,1462,46.8,4
1433,1433,L48612,L,298.8,309.8,1437,42.8,23
1438,1438,H30851,H,298.8,309.9,1439,45.2,40
1439,1439,L48618,L,298.8,309.9,1482,39.1,45
1450,1450,H30863,H,299.0,310.4,1677,30.8,73
1460,1460,L48639,L,299.0,310.3,1472,36.1,97
1461,1461,L48640,L,299.0,310.3,1437,47.8,99
1471,1471,L48650,L,298.5,309.7,1437,42.6,120
1473,1473,M16332,M,298.5,309.6,1438,44.5,124
1483,1483,M16342,M,298.1,309.1,1448,52.5,150
1484,1484,L48663,L,298.0,308.9,1578,35.6,153
1486,1486,M16345,M,298.1,309.0,1976,19.3,158
1487,1487,M16346,M,298.2,309.2,1524,34.6,161
1490,1490,M16349,M,298.2,309.0,1723,26.6,168
1493,1493,M16352,M,298.0,308.7,1479,58.5,176
1496,1496,H30909,H,297.9,308.5,1383,44.6,184
1502,1502,M16361,M,298.0,308.7,1436,48.2,201
1505,1505,L48684,L,298.0,308.7,1506,47.0,208
1509,1509,M16368,M,298.0,308.6,1507,37.3,217
1511,1511,M16370,M,298.1,308.7,1547,38.9,0
1521,1521,L48700,L,298.3,309.1,1472,40.1,31
1523,1523,H30936,H,298.2,309.0,1562,37.7,36
1527,1527,L48706,L,298.1,309.0,1787,27.6,47
1528,1528,H30941,H,298.1,309.1,1425,44.5,49
1531,1531,L48710,L,298.1,309.0,1497,40.5,58
1534,1534,M16393,M,298.0,308.9,1339,51.4,68
1537,1537,M16396,M,298.2,308.9,1326,54.4,75
1538,1538,M16397,M,298.4,309.1,1467,39.6,78
1544,1544,L48723,L,298.4,308.9,1628,34.9,93
1547,1547,L48726,L,298.4,308.9,1391,48.4,100
1550,1550,L48729,L,298.4,308.9,1706,29.5,107
1554,1554,L48733,L,298.5,308.8,1332,59.1,115
1559,1559,M16418,M,298.2,308.3,1476,43.5,129
1563,1563,L48742,L,298.2,308.3,2216,16.8,139
1568,1568,L48747,L,298.1,308.2,1521,39.3,151
1585,1585,M16444,M,298.2,308.3,1639,33.3,191
1586,1586,L48765,L,298.2,308.3,1400,48.7,194
1591,1591,L48770,L,298.2,308.4,1497,37.7,207
1592,1592,L48771,L,298.2,308.4,1355,49.4,209
1596,1596,L48775,L,298.0,308.2,1365,52.9,218
1601,1601,M16460,M,297.8,307.8,1543,43.7,8
1602,1602,L48781,L,297.8,307.8,1597,38.2,11
1617,1617,H31030,H,297.8,307.8,1662,30.7,48
1622,1622,L48801,L,297.7,307.6,1844,21.9,61
1624,1624,L48803,L,297.7,307.6,1921,22.9,68
1633,1633,L48812,L,297.9,307.9,1426,43.6,89
1638,1638,L48817,L,297.9,307.8,1665,33.9,102
1642,1642,M16501,M,298.0,308.0,1555,37.0,111
1644,1644,L48823,L,298.0,307.8,1453,37.7,119
1647,1647,M16506,M,297.9,307.7,1527,42.8,125
1657,1657,L48836,L,298.2,308.1,1532,42.5,154
1659,1659,H31072,H,298.1,308.0,1570,35.3,159
1680,1680,L48859,L,298.0,307.5,1792,27.9,217
1687,1687,H31100,H,297.9,307.3,1663,28.7,7
1688,1688,L48867,L,297.9,307.3,1502,36.7,12
1692,1692,L48871,L,297.9,307.5,1602,38.3,21
1719,1719,M16578,M,298.2,307.7,1681,31.0,84
1728,1728,M16587,M,298.3,307.7,1602,33.4,106
1730,1730,M16589,M,298.3,307.7,1439,43.8,111
1732,1732,M16591,M,298.3,307.9,1485,42.0,117
1740,1740,H31153,H,298.5,307.9,1260,54.2,141
1741,1741,M16600,M,298.5,307.9,1640,33.1,146
1742,1742,M16601,M,298.5,308.0,1363,49.2,149
1749,1749,H31162,H,298.4,307.7,1626,31.1,166
1759,1759,L48938,L,298.1,307.4,1608,33.9,193
1763,1763,H31176,H,298.2,307.6,1460,48.6,204
1765,1765,H31178,H,298.2,307.6,1318,55.7,0
1769,1769,M16628,M,298.3,307.8,1485,42.0,13
1771,1771,H31184,H,298.4,307.9,1605,31.0,18
1772,1772,L48951,L,298.4,307.9,1446,45.3,23
1779,1779,L48958,L,298.6,308.2,1325,54.0,41
1785,1785,L48964,L,298.3,308.0,2886,3.8,57
1791,1791,L48970,L,298.2,307.9,1847,23.6,69
1800,1800,M16659,M,298.0,307.5,1427,45.1,95
1801,1801,M16660,M,298.0,307.5,1524,36.3,98
1806,1806,H31219,H,298.1,307.7,1376,56.2,113
1813,1813,L48992,L,298.2,307.8,1476,36.8,134
1818,1818,L48997,L,298.1,307.7,1664,27.6,145
1819,1819,M16678,M,298.1,307.7,1435,40.9,147
1822,1822,L49001,L,298.1,307.6,1354,43.3,155
1824,1824,L49003,L,298.1,307.7,1414,48.7,159
1828,1828,M16687,M,297.9,307.3,1420,47.8,171
1829,1829,L49008,L,297.8,307.2,1351,56.3,174
1838,1838,L49017,L,297.7,307.2,1392,43.0,197
1856,1856,H31269,H,297.7,307.3,1249,62.8,47
1865,1865,L49044,L,297.9,307.7,1546,37.6,72
1875,1875,L49054,L,298.4,308.1,1598,32.7,94
1889,1889,M16748,M,297.8,307.4,1902,24.3,129
1894,1894,L49073,L,297.8,307.5,1631,29.9,144
1898,1898,L49077,L,297.8,307.4,1418,41.2,155
1902,1902,M16761,M,297.9,307.6,1505,40.1,166
1903,1903,L49082,L,298.0,307.6,1694,29.1,169
1908,1908,L49087,L,297.9,307.6,1504,42.4,180
1915,1915,L49094,L,298.0,307.7,1643,32.3,200
1917,1917,L49096,L,298.0,307.7,1387,50.8,204
1919,1919,M16778,M,298.1,307.9,1496,40.0,0
1929,1929,L49108,L,298.0,307.8,1623,29.9,24
1930,1930,M16789,M,298.0,307.8,1483,50.9,26
1931,1931,M16790,M,298.1,307.9,1569,37.0,29
1938,1938,L49117,L,298.2,308.0,1411,42.4,48
1939,1939,L49118,L,298.1,307.9,1517,40.8,50
1945,1945,L49124,L,298.1,308.1,1791,27.3,63
1954,1954,L49133,L,297.9,307.7,1593,34.9,83
1967,1967,L49146,L,297.9,307.6,1515,40.5,118
1975,1975,L49154,L,298.0,307.6,1450,48.7,138
1978,1978,M16837,M,298.1,307.7,1633,30.7,145
1986,1986,L49165,L,298.1,307.7,1537,40.8,169
1987,1987,L49166,L,298.1,307.6,1498,42.9,171
1990,1990,L49169,L,298.2,307.9,1785,23.4,181
2001,2001,L49180,L,298.4,308.1,1279,53.1,9
2005,2005,L49184,L,298.5,308.2,1451,47.5,18
2011,2011,L49190,L,298.6,308.3,1278,60.5,32
2019,2019,L49198,L,298.7,308.5,1375,46.4,48
2020,2020,M16879,M,298.7,308.5,1660,27.0,50
2022,2022,L49201,L,298.7,308.5,1480,42.2,58
2039,2039,L49218,L,299.0,308.8,1405,55.2,103
2042,2042,L49221,L,299.1,308.9,1680,27.2,110
2043,2043,M16902,M,299.1,308.9,1397,52.4,112
2045,2045,L49224,L,299.3,309.1,1470,41.1,118
2048,2048,L49227,L,299.3,309.2,1775,24.2,125
2052,2052,M16911,M,299.4,309.2,1470,44.4,135
2053,2053,L49232,L,299.5,309.3,1477,40.4,138
2054,2054,L49233,L,299.5,309.3,1382,61.0,140
2068,2068,L49247,L,299.7,309.6,1553,36.8,174
2079,2079,M16938,M,299.4,309.3,1692,28.4,201
2088,2088,L49267,L,299.5,309.3,1577,36.6,14
2089,2089,L49268,L,299.6,309.4,1331,46.4,16
2091,2091,L49270,L,299.5,309.2,1393,47.3,20
2092,2092,L49271,L,299.4,309.2,1433,42.1,22
2094,2094,L49273,L,299.4,309.2,1564,39.0,26
2102,2102,L49281,L,299.3,309.3,1528,37.8,45
2105,2105,M16964,M,299.3,309.1,1600,35.3,52
2106,2106,L49285,L,299.3,309.1,1495,44.0,55
2110,2110,M16969,M,299.3,309.0,1496,43.4,67
2114,2114,L49293,L,299.5,309.1,1863,22.5,79
2119,2119,H31532,H,299.3,308.9,1429,43.0,96
2123,2123,M16982,M,299.2,308.8,1523,38.9,112
2124,2124,L49303,L,299.3,309.0,1491,38.4,115
2128,2128,H31541,H,299.3,309.0,1425,40.6,123
2134,2134,H31547,H,299.3,309.0,1732,29.7,141
2137,2137,L49316,L,299.2,308.9,1588,41.5,150
2150,2150,L49329,L,299.4,309.0,1613,32.2,178
2152,2152,M17011,M,299.3,308.7,1289,51.5,185
2155,2155,M17014,M,299.3,308.9,1767,24.8,196
2156,2156,L49335,L,299.3,308.8,1341,47.7,199
2159,2159,M17018,M,299.5,309.0,1399,49.7,207
2161,2161,L49340,L,299.4,309.0,1507,41.0,213
2164,2164,L49343,L,299.6,309.2,1422,39.8,219
2174,2174,M17033,M,299.5,309.2,1495,41.6,17
2176,2176,M17035,M,299.5,309.2,1590,35.9,22
2179,2179,L49358,L,299.6,309.2,1602,37.3,31
2188,2188,M17047,M,299.8,309.4,1439,47.4,57
2197,2197,M17056,M,299.7,308.9,1551,35.4,82
2205,2205,M17064,M,299.7,309.1,1352,46.1,102
2206,2206,L49385,L,299.9,309.2,1624,34.6,105
2207,2207,L49386,L,299.9,309.2,1436,52.0,107
2212,2212,M17071,M,299.6,309.0,1245,64.0,120
2214,2214,L49393,L,299.7,309.1,1473,39.4,125
2223,2223,L49402,L,299.7,309.0,1605,33.0,151
2227,2227,M17086,M,299.6,308.9,1685,27.8,161
2234,2234,L49413,L,299.5,308.7,2549,13.0,179
2238,2238,L49417,L,299.3,308.6,1403,50.6,189
2240,2240,L49419,L,299.2,308.6,1381,50.0,193
2256,2256,L49435,L,299.1,308.3,1559,33.7,30
2258,2258,L49437,L,299.1,308.3,1892,25.2,34
2260,2260,L49439,L,299.1,308.3,1431,52.3,38
2276,2276,L49455,L,299.3,308.6,1605,37.0,78
2297,2297,L49476,L,299.4,308.7,1553,42.7,128
2303,2303,L49482,L,299.2,308.5,1515,39.8,141
2307,2307,L49486,L,299.1,308.6,1260,57.8,152
2309,2309,L49488,L,299.1,308.5,1371,55.5,159
2310,2310,L49489,L,299.1,308.6,1611,31.4,161
2311,2311,M17170,M,299.0,308.4,1535,47.5,163
2314,2314,M17173,M,299.1,308.8,1725,26.6,172
2319,2319,L49498,L,299.2,308.8,1405,51.4,183
2344,2344,L49523,L,299.1,308.3,1305,61.4,17
2348,2348,L49527,L,299.2,308.3,1410,43.0,26
2361,2361,H31774,H,299.2,308.4,1388,53.2,59
2368,2368,M17227,M,299.3,308.5,1496,39.4,80
2376,2376,M17235,M,299.2,308.4,1476,32.7,101
2379,2379,L49558,L,299.1,308.2,1348,56.1,110
2380,2380,H31793,H,299.1,308.2,1450,46.1,112
2388,2388,M17247,M,299.2,308.5,1474,47.2,132
2394,2394,L49573,L,299.2,308.5,1544,41.6,146
2397,2397,M17256,M,299.1,308.5,1592,34.2,153
2400,2400,M17259,M,299.2,308.5,1594,35.8,160
2402,2402,M17261,M,299.2,308.6,1367,47.6,168
2408,2408,M17267,M,299.1,308.6,1499,45.1,185
2414,2414,L49593,L,299.0,308.5,1886,23.0,198
2415,2415,L49594,L,299.1,308.5,1415,43.4,0
2426,2426,L49605,L,298.8,308.1,1472,53.5,28
2427,2427,M17286,M,298.9,308.2,1372,63.6,30
2441,2441,L49620,L,299.1,308.4,1426,47.9,67
2443,2443,M17302,M,299.1,308.4,1332,51.7,71
2448,2448,L49627,L,299.3,308.7,1408,48.7,85
2452,2452,L49631,L,299.2,308.7,1650,30.5,93
2453,2453,M17312,M,299.1,308.6,2329,14.6,95
2454,2454,L49633,L,299.0,308.6,1648,30.8,98
2456,2456,L49635,L,299.0,308.6,1946,22.3,102
2471,2471,L49650,L,298.9,308.5,1467,44.7,136
2480,2480,L49659,L,299.0,308.5,1604,34.7,159
2481,2481,L49660,L,299.0,308.6,1734,32.4,161
2489,2489,L49668,L,298.9,308.7,1356,50.7,185
2494,2494,M17353,M,299.0,308.8,1418,45.7,204
2513,2513,L49692,L,298.9,308.8,1530,38.3,23
2519,2519,M17378,M,298.9,308.6,1425,49.6,35
2529,2529,L49708,L,298.8,308.6,1730,25.9,59
2535,2535,L49714,L,298.9,308.7,1729,26.6,73
2538,2538,H31951,H,298.9,308.7,1353,48.1,79
2540,2540,L49719,L,299.1,308.8,1413,42.1,86
2546,2546,M17405,M,299.2,309.0,1541,36.3,104
2551,2551,L49730,L,299.4,309.3,1366,48.4,116
2559,2559,M17418,M,299.2,309.0,1881,23.9,137
2565,2565,L49744,L,299.3,309.1,1493,38.0,151
2568,2568,L49747,L,299.4,309.1,1766,24.6,158
2569,2569,L49748,L,299.6,309.2,1450,43.1,160
2574,2574,L49753,L,299.5,309.2,1499,41.5,175
